key,value,date
processing,1,01/01/14
processing,2,01/01/15
processing,2,01/01/16
processing,0,01/01/17
processing,0,01/01/18
illustration,0,01/01/11
illustration,0,01/01/12
illustration,0,01/01/13
illustration,0,01/01/14
illustration,1,01/01/15
illustration,1,01/01/16
illustration,0,01/01/17
illustration,0,01/01/18
911memorial,1,01/01/11
911memorial,1,01/01/12
911memorial,0,01/01/13
911memorial,0,01/01/14
911memorial,0,01/01/15
911memorial,0,01/01/16
911memorial,0,01/01/17
911memorial,0,01/01/18
software,0,01/01/11
software,0,01/01/12
software,0,01/01/13
software,0,01/01/14
software,1,01/01/15
software,1,01/01/16
software,0,01/01/17
software,0,01/01/18
flight404,1,01/01/11
flight404,1,01/01/12
flight404,0,01/01/13
flight404,1,01/01/14
flight404,0,01/01/15
flight404,0,01/01/16
flight404,0,01/01/17
flight404,0,01/01/18
generativeart,1,01/01/11
generativeart,2,01/01/12
generativeart,0,01/01/13
generativeart,0,01/01/14
generativeart,0,01/01/15
generativeart,0,01/01/16
generativeart,1,01/01/17
generativeart,0,01/01/18
machinelearning,0,01/01/11
machinelearning,0,01/01/12
machinelearning,0,01/01/13
machinelearning,0,01/01/14
machinelearning,1,01/01/15
machinelearning,1,01/01/16
machinelearning,2,01/01/17
machinelearning,0,01/01/18
3dprinting,0,01/01/11
3dprinting,1,01/01/12
3dprinting,1,01/01/13
3dprinting,0,01/01/14
3dprinting,1,01/01/15
3dprinting,0,01/01/16
3dprinting,0,01/01/17
3dprinting,0,01/01/18
inclusivedesign,0,01/01/11
inclusivedesign,0,01/01/12
inclusivedesign,0,01/01/13
inclusivedesign,0,01/01/14
inclusivedesign,2,01/01/15
inclusivedesign,1,01/01/16
inclusivedesign,0,01/01/17
inclusivedesign,0,01/01/18
dataviz,2,01/01/11
dataviz,35,01/01/12
dataviz,42,01/01/13
dataviz,33,01/01/14
dataviz,48,01/01/15
dataviz,43,01/01/16
dataviz,9,01/01/17
dataviz,0,01/01/18
ai,0,01/01/11
ai,0,01/01/12
ai,0,01/01/13
ai,0,01/01/14
ai,0,01/01/15
ai,0,01/01/16
ai,2,01/01/17
ai,0,01/01/18
accessibility,0,01/01/11
accessibility,0,01/01/12
accessibility,0,01/01/13
accessibility,0,01/01/14
accessibility,3,01/01/15
accessibility,0,01/01/16
accessibility,0,01/01/17
accessibility,0,01/01/18
engineering,0,01/01/11
engineering,0,01/01/12
engineering,0,01/01/13
engineering,0,01/01/14
engineering,0,01/01/15
engineering,2,01/01/16
engineering,0,01/01/17
engineering,0,01/01/18
nasa,0,01/01/11
nasa,0,01/01/12
nasa,0,01/01/13
nasa,0,01/01/14
nasa,1,01/01/15
nasa,1,01/01/16
nasa,0,01/01/17
nasa,0,01/01/18
pitchinteractive,0,01/01/11
pitchinteractive,2,01/01/12
pitchinteractive,0,01/01/13
pitchinteractive,0,01/01/14
pitchinteractive,0,01/01/15
pitchinteractive,0,01/01/16
pitchinteractive,0,01/01/17
pitchinteractive,0,01/01/18
